id,items,phone,store
1136,"[{'name': 'Krafty Cheddar', 'total': '8', 'price_per_item': '4', 'quantity': '2'}, {'name': 'Dovee', 'total': '1', 'price_per_item': '1', 'quantity': '1'}, {'name': 'Colgatex', 'total': '2', 'price_per_item': '2', 'quantity': '1'}]",270-914-6681,PetPals Mart
1137,"[{'name': 'Dovee', 'total': '1', 'price_per_item': '1', 'quantity': '1'}, {'name': 'Colgatex', 'total': '2', 'price_per_item': '2', 'quantity': '1'}]",264-319-7312,Urban Outfitters Loft
1138,"[{'name': 'Flixnet', 'total': '22', 'price_per_item': '11', 'quantity': '2'}, {'name': 'RedCow', 'total': '4', 'price_per_item': '4', 'quantity': '1'}, {'name': 'KittyKat', 'total': '3', 'price_per_item': '3', 'quantity': '1'}]",659-190-9378,Trader Tales
1139,"[{'name': 'Dovee', 'total': '3', 'price_per_item': '1', 'quantity': '3'}, {'name': 'Flixnet', 'total': '10', 'price_per_item': '10', 'quantity': '1'}, {'name': 'Colgatex', 'total': '4', 'price_per_item': '2', 'quantity': '2'}]",582-574-4299,PetPals Mart
1140,"[{'name': 'Dovee', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Oreoz', 'total': '5', 'price_per_item': '5', 'quantity': '1'}]",821-675-4190,SparkMart
1141,"[{'name': 'RedCow', 'total': '4', 'price_per_item': '4', 'quantity': '1'}, {'name': 'KittyKat', 'total': '3', 'price_per_item': '3', 'quantity': '1'}]",313-206-2033,BestChoice Buy
1142,"[{'name': 'Colgatex', 'total': '9', 'price_per_item': '3', 'quantity': '3'}]",547-388-2503,Trader Tales
1143,"[{'name': 'RedCow', 'total': '3', 'price_per_item': '3', 'quantity': '1'}]",489-241-7631,PetPals Mart
1144,"[{'name': 'Dovee', 'total': '6', 'price_per_item': '2', 'quantity': '3'}]",312-891-9587,Trader Tales
1145,"[{'name': 'KittyKat', 'total': '2', 'price_per_item': '2', 'quantity': '1'}, {'name': 'GatorBoost', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Dovee', 'total': '2', 'price_per_item': '1', 'quantity': '2'}]",416-776-3422,Urban Outfitters Loft
1146,"[{'name': 'Dovee', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Popsi', 'total': '10', 'price_per_item': '5', 'quantity': '2'}]",627-954-8991,Targeted Treasures
1147,"[{'name': 'Flixnet', 'total': '20', 'price_per_item': '10', 'quantity': '2'}, {'name': 'KittyKat', 'total': '2', 'price_per_item': '2', 'quantity': '1'}, {'name': 'Colgatex', 'total': '2', 'price_per_item': '2', 'quantity': '1'}]",934-954-3387,Urban Outfitters Loft
1148,"[{'name': 'Colgatex', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Krafty Cheddar', 'total': '5', 'price_per_item': '5', 'quantity': '1'}]",778-566-2709,Trader Tales
1149,"[{'name': 'Dovee', 'total': '1', 'price_per_item': '1', 'quantity': '1'}]",220-296-3772,PetPals Mart
